trial, "Trial 26: Tomato open_w_MAC_addresses. 5.0000 broadcast";
1-/device-5, blinking;
1-/device-4, blinking;
1-/device-1, blinking;
1-/device-8, blinking;
1-/device-7, blinking;
1-/device-6, blinking;
1-/device-2, blinking;
1-/device-3, random;
2-/device-5, random;
2-/device-1, random;
2-/device-7, random;
2-/device-4, random;
2-/device-8, random;
2-/device-2, random;
2-/device-6, random;
2-/device-3, random;
3-/device-1, solid;
3-/device-8, solid;
3-/device-5, solid;
3-/device-2, solid;
3-/device-6, solid;
3-/device-4, solid;
3-/device-7, solid;
3-/device-3, solid;
4-/device-5, solid;
4-/device-1, solid;
4-/device-4, solid;
4-/device-7, solid;
4-/device-8, solid;
4-/device-6, solid;
4-/device-2, solid;
4-/device-3, solid;
5-/device-5, random;
5-/device-1, random;
5-/device-7, random;
5-/device-4, random;
5-/device-8, random;
5-/device-3, random;
5-/device-6, random;
5-/device-2, random;
6-/device-1, blinking;
6-/device-8, blinking;
6-/device-7, blinking;
6-/device-4, blinking;
6-/device-2, blinking;
6-/device-5, blinking;
6-/device-6, blinking;
6-/device-3, blinking;
7-/device-5, random;
7-/device-1, random;
7-/device-8, random;
7-/device-7, random;
7-/device-2, random;
7-/device-4, random;
7-/device-3, random;
7-/device-6, random;
8-/device-5, blinking;
8-/device-1, blinking;
8-/device-8, blinking;
8-/device-7, blinking;
8-/device-4, blinking;
8-/device-6, blinking;
8-/device-3, blinking;
8-/device-2, blinking;
9-/device-5, blinking;
9-/device-1, blinking;
9-/device-8, blinking;
9-/device-3, blinking;
9-/device-7, blinking;
9-/device-4, blinking;
9-/device-6, blinking;
9-/device-2, blinking;
10-/device-8, solid;
10-/device-7, solid;
10-/device-4, solid;
10-/device-1, solid;
10-/device-6, solid;
10-/device-3, solid;
10-/device-5, solid;
10-/device-2, solid;
11-/device-5, random;
11-/device-1, random;
11-/device-7, random;
11-/device-2, random;
11-/device-8, random;
11-/device-4, random;
11-/device-3, random;
11-/device-6, random;
12-/device-1, blinking;
12-/device-5, blinking;
12-/device-7, blinking;
12-/device-6, blinking;
12-/device-4, blinking;
12-/device-8, blinking;
12-/device-3, blinking;
12-/device-2, blinking;
13-/device-5, random;
13-/device-4, random;
13-/device-1, random;
13-/device-8, random;
13-/device-7, random;
13-/device-6, random;
13-/device-2, random;
13-/device-3, random;
14-/device-1, random;
14-/device-5, random;
14-/device-4, random;
14-/device-8, random;
14-/device-7, random;
14-/device-3, random;
14-/device-2, random;
14-/device-6, random;
15-/device-5, random;
15-/device-4, random;
15-/device-1, random;
15-/device-3, random;
15-/device-8, random;
15-/device-7, random;
15-/device-6, random;
16-/device-2, blinking;
16-/device-5, blinking;
16-/device-4, blinking;
16-/device-8, blinking;
16-/device-1, blinking;
16-/device-6, blinking;
16-/device-3, blinking;
16-/device-7, blinking;
