trial, "Trial 26: Tomato open_w_MAC_addresses. 5.0000 broadcast";
1-/device-7, solid;
1-/device-8, solid;
1-/device-3, solid;
1-/device-1, solid;
1-/device-4, solid;
1-/device-6, solid;
1-/device-2, solid;
1-/device-5, solid;
2-/device-3, blinking;
2-/device-7, blinking;
2-/device-1, blinking;
2-/device-8, blinking;
2-/device-6, blinking;
2-/device-5, blinking;
3-/device-1, solid;
3-/device-7, solid;
3-/device-8, solid;
3-/device-6, solid;
3-/device-4, solid;
3-/device-3, solid;
3-/device-5, solid;
4-/device-1, solid;
4-/device-3, solid;
4-/device-6, solid;
4-/device-8, solid;
4-/device-7, solid;
4-/device-5, solid;
4-/device-4, solid;
4-/device-2, solid;
5-/device-1, solid;
5-/device-8, solid;
5-/device-7, solid;
5-/device-3, solid;
5-/device-6, solid;
5-/device-5, solid;
5-/device-2, solid;
5-/device-4, solid;
6-/device-3, random;
6-/device-8, random;
6-/device-4, random;
6-/device-7, random;
6-/device-1, random;
6-/device-2, random;
6-/device-6, random;
6-/device-5, random;
7-/device-1, random;
7-/device-8, random;
7-/device-3, random;
7-/device-4, random;
7-/device-7, random;
7-/device-6, random;
7-/device-2, random;
8-/device-7, solid;
8-/device-1, solid;
8-/device-3, solid;
8-/device-8, solid;
8-/device-6, solid;
8-/device-5, solid;
8-/device-2, solid;
9-/device-7, random;
9-/device-1, random;
9-/device-8, random;
9-/device-6, random;
9-/device-2, random;
9-/device-3, random;
9-/device-5, random;
9-/device-4, random;
10-/device-1, random;
10-/device-7, random;
10-/device-8, random;
10-/device-3, random;
10-/device-4, random;
10-/device-6, random;
10-/device-5, random;
10-/device-2, random;
11-/device-3, solid;
11-/device-1, solid;
11-/device-8, solid;
11-/device-7, solid;
11-/device-6, solid;
11-/device-4, solid;
11-/device-5, solid;
11-/device-2, solid;
12-/device-1, random;
12-/device-3, random;
12-/device-7, random;
12-/device-8, random;
12-/device-6, random;
12-/device-4, random;
12-/device-5, random;
12-/device-2, random;
13-/device-1, blinking;
13-/device-3, blinking;
13-/device-7, blinking;
13-/device-8, blinking;
13-/device-4, blinking;
13-/device-2, blinking;
13-/device-6, blinking;
13-/device-5, blinking;
14-/device-8, blinking;
14-/device-3, blinking;
14-/device-7, blinking;
14-/device-1, blinking;
14-/device-4, blinking;
14-/device-6, blinking;
14-/device-2, random;
14-/device-5, blinking;
15-/device-7, solid;
15-/device-8, solid;
15-/device-1, solid;
15-/device-6, solid;
15-/device-3, solid;
15-/device-5, solid;
15-/device-4, solid;
15-/device-2, solid;
16-/device-8, solid;
16-/device-1, solid;
16-/device-7, solid;
16-/device-4, solid;
16-/device-6, solid;
16-/device-5, solid;
16-/device-2, solid;
16-/device-3, solid;
